object,color,count_base,count_pattern,p_base,p_pattern,binding_strength,binding_gap,p_obj,p_color,p_joint,pmi,ppmi,npmi,binding_score,category
chalkboard,red,3,1,0.017857142857142856,0.005952380952380952,0.3333333333333333,0.011904761904761904,0.00028001260056702553,0.016022387674112,1.6667416700418185e-06,-0.990195674283322,0.0,-0.0744248381959949,0.0,under
chalkboard,green,11,8,0.06547619047619048,0.047619047619047616,0.7272727272727272,0.017857142857142863,0.00028001260056702553,0.011595521798480932,1.3333933360334548e-05,1.4126138695386885,1.4126138695386885,0.12584310942848104,1.8835699200313193e-05,positive
chalkboard,pink,2,0,0.011904761904761904,0.0,0.0,0.011904761904761904,0.00028001260056702553,0.007897022032658137,0.0,-5.074376067040501,0.0,-1.0,0.0,never
chalkboard,orange,1,0,0.005952380952380952,0.0,0.0,0.005952380952380952,0.00028001260056702553,0.004475201384062283,0.0,-5.074376067040501,0.0,-1.0,0.0,never
chalkboard,purple,0,0,0.0,0.0,0,0.0,0.00028001260056702553,0.003536825823828739,0.0,-5.074376067040501,0.0,-1.0,0.0,never
chalkboard,white,8,0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.00028001260056702553,0.026127842419575546,0.0,-5.074376067040501,0.0,-1.0,0.0,never
chalkboard,black,10,3,0.05952380952380952,0.017857142857142856,0.3,0.041666666666666664,0.00028001260056702553,0.031599755322322835,5.000225010125456e-06,-0.5707457893514344,0.0,-0.04675933939964373,0.0,under
chalkboard,brown,0,0,0.0,0.0,0,0.0,0.00028001260056702553,0.006370286662899831,0.0,-5.074376067040501,0.0,-1.0,0.0,never
banana,blue,11,4,0.030470914127423823,0.0110803324099723,0.36363636363636365,0.019390581717451526,0.0006016937428850965,0.01797247542806093,6.666966680167274e-06,-0.4836697629093095,0.0,-0.0405819549353336,0.0,under
banana,yellow,6,2,0.01662049861495845,0.00554016620498615,0.3333333333333333,0.011080332409972301,0.0006016937428850965,0.0064769581297825065,3.333483340083637e-06,-0.1562264745245679,0.0,-0.012387627506826293,0.0,under
